"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 25, 2017","47,078.0","47,078.0","47,890.0","47,078.0","13.54K","0.00%"
"Jul 24, 2017","47,078.0","47,078.0","47,565.0","46,916.0","5.84K","0.00%"
"Jul 21, 2017","47,078.0","47,565.0","47,565.0","47,078.0","3.88K","-1.02%"
"Jul 20, 2017","47,565.0","47,241.0","47,565.0","47,078.0","1.56K","0.00%"
"Jul 19, 2017","47,565.0","47,565.0","47,565.0","47,565.0","0.01K","0.00%"
"Jul 18, 2017","47,565.0","47,160.0","47,565.0","47,160.0","1.11K","0.17%"
"Jul 17, 2017","47,484.0","47,241.0","47,484.0","47,078.0","2.55K","0.86%"
"Jul 14, 2017","47,078.0","47,565.0","47,809.0","47,078.0","0.44K","0.00%"
"Jul 13, 2017","47,078.0","47,484.0","47,484.0","47,078.0","0.04K","0.00%"
"Jul 12, 2017","47,078.0","47,809.0","47,809.0","47,078.0","5.21K","-1.53%"
"Jul 11, 2017","47,809.0","47,484.0","47,809.0","47,484.0","3.98K","0.00%"
"Jul 10, 2017","47,809.0","46,754.0","47,809.0","46,754.0","16.54K","0.00%"
"Jul 06, 2017","47,809.0","47,809.0","47,809.0","47,809.0","0.03K","0.68%"
"Jul 05, 2017","47,484.0","47,484.0","47,484.0","47,078.0","0.29K","0.86%"
"Jul 04, 2017","47,078.0","47,484.0","47,890.0","47,078.0","10.15K","-0.86%"
"Jul 03, 2017","47,484.0","47,078.0","47,484.0","47,078.0","0.66K","0.17%"
"Jun 30, 2017","47,403.0","47,484.0","47,484.0","47,403.0","3.75K","0.17%"
"Jun 29, 2017","47,322.0","47,484.0","47,484.0","47,322.0","0.23K","-0.34%"
"Jun 28, 2017","47,484.0","47,890.0","47,890.0","47,078.0","1.02K","-0.51%"
"Jun 27, 2017","47,728.0","47,890.0","47,890.0","47,728.0","1.30K","0.00%"
"Jun 26, 2017","47,728.0","47,890.0","47,890.0","47,484.0","8.86K","0.00%"
"Jun 23, 2017","47,728.0","47,890.0","47,890.0","47,484.0","0.06K","0.34%"
"Jun 22, 2017","47,565.0","47,890.0","47,890.0","47,565.0","1.68K","0.00%"
"Jun 21, 2017","47,565.0","47,890.0","47,890.0","47,565.0","1.32K","-0.68%"
"Jun 20, 2017","47,890.0","47,565.0","47,890.0","47,484.0","1.61K","0.86%"
"Jun 19, 2017","47,484.0","47,484.0","47,565.0","47,484.0","11.95K","0.00%"
"Jun 16, 2017","47,484.0","47,484.0","47,484.0","47,078.0","0.36K","0.00%"
"Jun 15, 2017","47,484.0","47,890.0","47,890.0","47,484.0","0.43K","-0.68%"
"Jun 14, 2017","47,809.0","47,728.0","47,809.0","47,728.0","1.32K","0.00%"
"Jun 13, 2017","47,809.0","47,809.0","47,809.0","47,809.0","1.32K","-0.17%"
"Jun 12, 2017","47,890.0","47,078.0","47,890.0","47,078.0","0.23K","0.00%"
"Jun 09, 2017","47,890.0","47,890.0","47,890.0","47,890.0","1.38K","0.00%"
"Jun 08, 2017","47,890.0","47,971.0","47,971.0","46,673.0","26.55K","-0.34%"
"Jun 07, 2017","48,052.0","47,484.0","48,134.0","46,591.0","44.01K","0.34%"
"Jun 06, 2017","47,890.0","47,890.0","48,134.0","47,890.0","42.43K","0.00%"
"Jun 05, 2017","47,890.0","47,890.0","47,890.0","47,484.0","10.36K","0.00%"
"Jun 02, 2017","47,890.0","47,890.0","48,134.0","47,890.0","10.97K","0.00%"
"Jun 01, 2017","47,890.0","47,890.0","48,134.0","47,890.0","0.75K","0.00%"
"May 31, 2017","47,890.0","47,971.0","47,971.0","47,890.0","1.30K","0.00%"
